ref,context,words,gloss,translation,comment
hau-modal-13,epi-imp-1,Ba 	zai 	  	yiwu 	Ben 	ya 		kasance	a 	gida 	ba.,neg	ZA.3sg.m.sbjv 	MOD	B.    	3.sg.m 		be	prep 	house 	neg,Ben can’t be at home. ,
hau-modal-14,epi-imp-2,Ba         za   ta                 kasance a cikin C ba. ,neg	ZA 3sg.f.sbjv	be 	prep 	C neg,it can’t be in C. ,
hau-modal-14b,epi-imp-2,Ba 	zai 		yiwu 	tanaa		cikin 	C ba.,neg	ZA.3sg.m.sbjv	MOD 3sg.f.ipfv		prep 	C neg,It is not possible in C.,
hau-modal-15,deo-nec-1,Dole 	ku/ka/ki 		saka 	hular kwano/kwalkwali.,MOD 	2pl.neut/m/f.sbjv 	wear 	helmet,You must wear a helmet. ,"Three versions for three possible genders: neutral/impersonal, singular masc, singular fem"
hau-modal-16,deo-nec-2,Dole         ne         maziyarta su                 wuce da         ƙarfe 6pm.,MOD 	cop	visitor	    3pl.sbjv	leave prep 	hour 6pm,Visitors must leave by 6pm.,
hau-modal-17,deo-wn-1,Ya kamata in 		saka 	tufafin [da suka dace zuwa wajen bukin]., MOD        1sg.sbjv 	wear 	clothes [… ],I ought to wear formal clothes to the party. ,
hau-modal-18,deo-wn-2,Ya kamata 	ma 	baƙin 	su 		wanke 	hannayensu.,MOD         	also 	guests 	3pl.sbjv 	wash 	hands.their,Guests ought to wash their hands too! ,
hau-modal-19,deo-wn-3,Ya kamata in 		saka     	ƙyallen 	rufe fuska.,MOD       1sg.sbjv 	wear   	face.covering,I ought to wear a face covering.,
hau-modal-20,deo-pos-1,Wataƙila Martin zai 		tuƙa 	wil ɗin ferris.,MOD 	   Martin ZA.3sg.m.sbjv drive 	wheel of ferris,Martin may ride the ferris wheel. ,
hau-modal-21,deo-pos-2,Za ka/ki/ku 		iya 	shiga.,ZA 2sg.m/f/neut.sbjv MOD enter,You may enter. ,
hau-modal-22,deo-pos-3,Za  ka/ki/ku		iya 	kwana 	ko 	za 	ka/ki/ku 	   iya 	tafiya 	gida.,ZA 2sg.m/f/neut/sbjv 	MOD 	stay	or 	ZA 	2sg.m/f/neut/sbjv MOD go 	home,You can stay overnight or you can go home. ,
hau-modal-22b,deo-pos-3,Za 	ka/ki/ku 	iya 	kwana. Za 	ka/ki/ku 	iya 	tafiya 	gida.,ZA 	2sg.m/f/n.sbjv 	MOD	stay	ZA 	2sg.m/f/n.sbjv 	MOD	go	home,You can stay overnight. You can also go home. ,
hau-modal-23,deo-pos-4,Alice 	za 	ta 		iya 	ɗaukar 	jaririyarta/jaririnta.,Alice 	ZA 	3sg.f.sbjv 	MOD 	lift   	baby.girl/baby.boy,Alice can lift her baby. ,
hau-modal-24,deo-pos-5,Beth	za 	ta 		iya 	zuwa 	iyo/ninƙaya.,Beth 	ZA 	3sg.f.sbjv 	MOD 	go 	swim,Beth can go swimming.,
hau-modal-25,deo-nnec-1,Ba         lallai         ba         ne         in         saka         kayan/suturar bukin.,neg 	MOD 		neg 	cop 	1sg 	wear 	clothes party,I don’t have to wear formal clothes. ,
hau-modal-25b,deo-nnec-1,Ba         dole         ba         ne         in         saka         kayan/suturar bukin.,neg 	MOD 		neg 	cop 	1sg 	wear 	clothes party,I don’t have to wear formal clothes. ,
hau-modal-25c,deo-nnec-1,Babu	buƙatar	 sai 	naa   	saka 	kayan/suturar bukin.,neg 	need    	SAI 	1sg 	wear 	clothes 	party,I needn’t wear formal clothes. ,
hau-modal-26,deo-nnec-2,Ba         lallai         ba         ne         in         saka ƙyallen rufe fuska.,neg         MOD                neg         cop        1sg        wear face.covering,I don’t have to wear a face covering. ,
hau-modal-26b,deo-nnec-2,Ba    dole         ba         ne         in         saka ƙyallen rufe fuska.,neg         MOD                neg         cop        1sg        wear face.covering,I don’t have to wear a face covering. ,
hau-modal-26c,deo-nnec-2,Babu 	buƙatar in	  saka ƙyallen rufe fuska.,neg need 1sg.sbjv wear face.covering,I needn’t wear a face covering. ,
hau-modal-27,deo-imp-1,Kada 	ka/ki/ku	 		tuƙa 	mashin 		ba 	tare da hular kwano/kwalkwali	ba.,MOD    2sg.m/f/neut.sbjv 	drive 	motorbike 	neg	with     helmet….		neg,You mustn’t ride a motor bike without a helmet. ,
hau-modal-28,deo-imp-2,Kada 	maziyarta su 		wuce 	ƙarfe 6 na yamma.,MOD 	visitors 	    3pl.sbjv 	stay 	hour 6 pm,Visitors mustn’t stay after 6pm.,
hau-modal-29,tel-nec-1,Dole 	ka/ki/ku 	bi 	wannan hanyar/titin.,MOD 	2sg.m/f/neut    	take 	this 	 road,you have to take this road. ,
hau-modal-30,tel-nec-2,Dole 	ne 	Najeriya 	ta 		buge 	Ghana.,MOD 	cop 	Nigeria 		3sg.f.sbjv 	beat 	Ghana,Team A has to beat Team B. ,
hau-modal-30b,tel-nec-2,Dole 	ne 	tawagar ƙwallon A 	ta 		buge 	tawagar ƙwallon B.,MOD 	cop 	team 	football A 	3sg.f.sbjv 	beat 	team football B,Team A has to beat Team B. ,
hau-modal-31,tel-nec-3,Dole 	ne 	mu 		yi 	oda 	daga Gino. ,MOD 	cop 	1pl.sbjv 	do 	order 	from Gino,We have to order from Gino’s ,
hau-modal-31b,tel-nec-3,Dole 	ne 	mu 	sayo 	daga 	Gino.,MOD 	cop	1pl.sbjv buy	from      Gino	,We have to order from Gino’s ,
hau-modal-32,tel-wn-1,Ya kamata ka/ki/ku 		shiga 	bas.,MOD	     2sg.m/f/neut.sbjv 	take	bus,you should take the bus. ,
hau-modal-32b,tel-wn-1,# Lallai ka/ki/ku                 shiga         bas.,MOD	     2sg.m/f/neut.sbjv 	take	bus,you should take the bus. ,lallai would be strong necessity (you don’t have any option)
hau-modal-32c,tel-wn-1,# Dole  ka/ki/ku                 shiga         bas.,MOD	     2sg.m/f/neut.sbjv 	take	bus,you should take the bus. ,dole would be strong necessity (you don’t have any option)
hau-modal-33,tel-wn-2,Ya kamata ka/ki/ku 		bi 	ta 	ƙananan 	hanyoyin.,MOD         2sg.m/f/neut.sbjv	take 	via 	small.pl 	roads ,you should go via the smaller roads. ,
hau-modal-34,tel-wn-3,Ya kamata 	ka/ki/ku 		je 	    shago na.,MOD              2sg.m/f/neut.sbjv           go            shop my,You should go to my shop,
hau-modal-35,tel-pos-1,Za ka/ki/ku 		iya 	bin hanya ta 1.,ZA 2sg.m/f/neut.sbjv     MOD 	take way via 1,You can take way 1. ,
hau-modal-36,tel-pos-2,Za 	mu 		iya 	zuwa/tafiya 	wurin yin iyo/ninƙaya 	da ke ta yamma.,ZA 	1pl.sbjv 	MOD 	go         		place  do swim	        	to the west,We can go to the swimming pool to the west. ,
hau-modal-37,tel-pos-3,Za	ka/ki/ku 		iya 	zuwa	shagon sayar da tufafi.,ZA 	2sg.m/f/neut.sbjv     	MOD 	go    	shop    selling of clothes   ,You can go to this boutique.,
hau-modal-38,tel-nnec-1,Ba         lallai         ba         ne         ka/ki/ku                 bi bas. ,neg 	MOD 	     	neg 	cop 	2sg.m/f/neut.sbjv 	take bus,you don’t need to take the bus. ,
hau-modal-38b,tel-nnec-1,Ba         dole         ba         ne         ka/ki/ku                 bi bas. ,neg 	MOD 	     	neg 	cop 	2sg.m/f/neut.sbjv 	take bus,you don’t need to take the bus. ,
hau-modal-38c,tel-nnec-1,Babu 	buƙatar 	ka/ki/ku 		bi bas.,neg 	need 		2sg.m/f/neut.sbjv	 take bus,you needn’t take the bus. ,
hau-modal-39,tel-imp-1,Ba 	za 	ka/ki/ku			iya 	bin 	wata 	hanyar ba.,neg 	ZA 	2sg.m/f/neut.sbjv 	MOD 	take 	another road neg, you can’t take another road. ,
hau-modal-40,tel-imp-2,Tawagar	ƙwallon A ba 	za ta 		iya 	buge tawagar 	ƙwallon B ba.,team 		football A neg 	ZA 3sg.f.sbjv 	MOD 	beat team 	football B ba,Team A can’t lose to Team B. ,
hau-modal-41,cir-nec-1,Dole 	in 	 kewaya 	da sauri. ,MOD 	1sg.sbjv go.around      	quickly/badly,I have to pee so badly! ,This version is preferred for register reasons (more respectful)
hau-modal-41b,cir-nec-1,Naa 	matsu 	sosai.,1sg.pfv 	badly 	pressed,I have to pee so badly! ,
hau-modal-41c,cir-nec-1,Dole 	ne 	in 		je/tafi 	bayi 	da sauri,MOD 	cop 	1sg.sbjv 	go 	toilet 	quickly/badly,I have to pee so badly! ,
hau-modal-42,cir-nec-2,Dole 	in 		yi 	atishawa.,MOD 	1sg.sbjv 	do 	sneeze,I have to sneeze. ,
hau-modal-43,cir-nec-3,Dole 	ruwan 	ya 		fita 	    ta 	    gefen dama.,MOD 	water 	3sg.m.sbjv 	come.out  through output right,the water must come out from the right output.  ,
hau-modal-44,cir-pos-1,Itatuwan duku 	za 	su 	 iya 	girma 	a 	nan.,trees 	  duku 	ZA 	3pl.sbjv MOD 	grow 	prep 	here,duku trees can grow here. ,
hau-modal-45,cir-pos-2,Amy 	za 	ta 		iya 	girka 	taliyar 	Italiya 	ta 	gargajiya.,Amy         ZA         3sg.f.sbjv         MOD         cook         pasta         Italian         prt         tradition,Amy can make traditional Italian pasta ,
hau-modal-46,cir-pos-3,Ben 	zai 		iya 	tafiya 	yanzu.,Ben 	ZA.3sg.m.sbjv 	MOD 	walk 	now,Ben can walk now. ,
hau-modal-46b,cir-pos-3,Ben 	yana 		iya 	tafiya 	yanzu.,Ben 	3sg.m.ipfv 	MOD 	walk 	now,Ben can walk now. ,
hau-modal-47,cir-pos-4,Paul zai 		iya 	ɗaga 	wancan dutsen.,Paul ZA.3sg.m.sbjv	MOD	lift	that	rock,Paul can lift that rock. ,both variants are appropriate/equivalent
hau-modal-47b,cir-pos-4,Paul 	yanaa 		iya 	ɗaga 	wancan dutsen.,Paul 	3sg.m.ipfv 	MOD 	lift 	that 	rock,Paul can lift that rock. ,both variants are appropriate/equivalent
hau-modal-48,cir-pos-5,Motocin safara 	za 	su 	yi 	daidai 	da 	mutane 	20.,vans       travel 	ZA 	3pl.sbjv do 	fit 	with 	people 	20,Travel vans can fit 20 people. ,both variants appropriate
hau-modal-48b,cir-pos-5,Motocin safara sunaa  iya  yin  daidai  da  mutane 20.,vans       travel 3pl.ipfv 	MOD	do 	fit 	with 	people 	20,Travel vans can fit 20 people. ,both variants appropriate
hau-modal-49,cir-nnec-1,Ba 	dole 	ba 	ne 	dutsen 	volcano ya       		yi 	aman-wuta.,neg 	MOD 	neg 	cop 	rock 	volcano	3sg.m.sbjv 	do 	eruption,The volcano doesn’t have to erupt. ,
hau-modal-50,cir-imp-3,Ben 	ba 	zai 		iya 	tafiya 	ba.,Ben 	neg 	ZA.3sg.m.sbjv 	MOD 	walk 	neg,Ben can’t walk. ,
hau-modal-51,cir-imp-4,Itatuwan duku 	ba	za 	su 		iya 	girma 	a 	nan 	ba.,trees 	duku 	neg 	ZA 	3pl.sbjv 	MOD 	grow 	prep	here    	neg,duku trees can’t grow here.,
hau-modal-52,bou-nec-1,Dole 	ne 	in 	 sayi 	wancan jakkar.,MOD 	cop 	1sg.sbjv buy 	that 	handbag,I must buy that handbag.,
hau-modal-53,bou-nec-2,Dole 	ne 	in 	tafi	sinimar.,MOD	cop 	1sg.sbjv go 	cinema ,I must go to the cinema. ,With dole it feels more necessary/urgent
hau-modal-53b,bou-nec-2,Inaa		son 	in 	 tafi 	sinimar.,Isg.ipfv    	want 	1sg.sbjv go	cinema,I want to go to the cinema. ,with son it just expressed the will
hau-modal-54,bou-nec-3,Abokina 	yanaa 	    son 		ya 		kawo mani ziyara.,friend.m.my 	3sg.m.ipfv want		3sg.m.sbjv	come to.me visit,My friend wants to come visit me. ,
