ref,context,words,gloss,translation,comment
cmn-modal-28,tel-wn-3,Ni        yinggai   qu         wode    dianli    mai       xinde    qunzi,you      MOD     go        my       shop     buy      new      shirt,You SHOULD go to my shop to buy a new shirt.,
cmn-modal-29,tel-pos-1,Ni        keyi         zuo                   yi         haoxian,you      MOD      travel.by           one       line.number, You CAN take way 1.,
cmn-modal-30,tel-pos-2,Women             keyi         qu        xibiande           youyongchi,we                    MOD      go        west                 swimming.pool,We CAN go to the swimming pool to the west.,
cmn-modal-31,tel-pos-3,Ni        keyi     qu        X de    jingpindian,you     MOD   go        X DE   boutique,You CAN go to X’s boutique.,
cmn-modal-32,cir-nec-1,Wo       yiding               yao       qu        niaoniao,I           MOD      go        pee,I HAVE to pee so badly!,
cmn-modal-32b,cir-nec-1,Wo      bixu      qu        niaoniao,I           MOD     go        pee,I HAVE to pee so badly!,judged to be more natural by the reviewer
cmn-modal-32c,cir-nec-1,Wo     budebu      qu        niaoniao,I           MOD     go        pee,I HAVE to pee so badly!,judged to be more natural by the reviewer
cmn-modal-33,cir-nec-2,Wo       budebu             dapenti,I          MOD             sneeze  ,I HAVE to sneeze.,
cmn-modal-33b,cir-nec-2,Wo       dei             da.CL.penti,I           MOD            sneeze  ,I HAVE to sneeze.,
cmn-modal-34,cir-pos-1,Duku   shu       keyi       zhong    zai      zheli,Duku   shu       keyi       zhong    zai      zheli,duku trees CAN grow here.,
cmn-modal-35,cir-pos-2,X          keyi      zuo       Y,X         MOD      make    Y,X CAN make Y.,
cmn-modal-36,cir-pos-3,B xianzai keyi  zoulu le,B          now      MOD      walk     SFP,B CAN walk now.,
cmn-modal-37,cir-pos-4,P          keyi      juqi       nage     shitou,P          MOD      lift        that      rock,Paul CAN lift that rock.,
cmn-modal-38,cir-pos-5,Lvyou  bashi   keyi      dazai    20         ren,Lvyou  bashi   keyi      dazai    20         ren,Travel vans CAN fit 20 people.,
cmn-modal-39,bou-nec-1,Wo       xuyao   qu        mai       ta,I           MOD    go        buy      it,I WANT/NEED TO buy it.,
cmn-modal-40,bou-nec-1,Wo       bixu             buy.arrive       ta    , I           MOD                buy      it,I WANT/NEED TO buy it.,
cmn-modal-40b,bou-nec-1,Wo       bixu              buy.down       ta,I          MOD                 buy      it,I WANT/NEED TO buy it.,
cmn-modal-41,bou-nec-2,Wo       xiang                qu        dianyingyuan,I           MOD              go        cinema,I WANT to go to the cinema.,
cmn-modal-42,bou-nec-3,Wo      de        pengyou          xiang               lai        baifang            wo,I           DE       friend            MOD              come   visit                 me,My friend WANTS to come visit me.,
