ref,context,words,gloss,translation,comment
tel-modal-19,deo-wn-3,nenu face covering 	vesu-ko-vaa.li,I       Face covering	wear-myself-MOD.,I OUGHT TO wear a face covering.,
tel-modal-19b,deo-wn-3,nenu 	face covering 	vesu-ko-vaa.li,I       	Face covering	wear-myself-MOD.,I OUGHT TO wear a face covering.,
tel-modal-20,deo-pos-1,Martin 		ferris wheel ni 		ekk-occu/nadapa-v-occu.,Martin 		Ferris Wheel-ACC	climb-MOD,Martin MAY ride the ferris wheel.,
tel-modal-20b,deo-pos-1,#Martin ferris wheel ni nadap-aali,Martin                 Ferris Wheel-ACC        climb-MOD,Martin MAY ride the ferris wheel.,
tel-modal-21,deo-pos-2,neevu / meeru velloccu. (vellu ‘to go’)  / vella-voccu,,You MAY enter. ,
tel-modal-22,deo-pos-3,neevu/meeru raatri ki (ikkade) und-occu/unda-vaccu ledaa neevu/meeru intiki vell-occu/vella-vaccu,You night Dat (here) stay-MOD  or you home-Dat go-MOD,You can stay overnight or you can go home.,
tel-modal-23,deo-pos-4,Alice	 tana 	paapa-ni 	ettu-ko-vaccu.,Alice	 her	Baby-ACC	lift-Refl-MOD,Alice CAN lift her baby.,
tel-modal-24,deo-pos-5,Beth Swimming ki velloccu,Beth swimming-Dat go-MOD,Beth CAN go swimming.,
tel-modal-25,deo-nnec-1,nenu formal clothes 	vesu-ko-vaalsina 	avasaram ledu       ,I	formal clothes	wear-Reflx.-NMNL    	Need        NEG.MOD,I DON’T HAVE TO / NEEDN’T wear formal clothes.,
tel-modal-26,deo-nnec-2,nenu 	face 	coverings	    vesu-ko-vaals-ina     avasaram ledu,I	face	coverings	    wear-Reflx.-NMNL    need        NEG.MOD,I DON’T HAVE TO / NEEDN’T wear face coverings.,
tel-modal-27,deo-imp-1,neevu/meeru         helmet lekundaa         motor bike nadap-adaani-ki  ledu  ,You 		helmet without 		motor bike ride-NMNL-Dat  NEG.MOD,You MUST NOT ride a motor bike without a helmet. ,
tel-modal-27b,deo-imp-1,neevu/meeru 	helmet lekundaa 	motor bike nadap-a  ledu  ,You   helmet without   motor bike ride-INF NEG.MOD,You MUST NOT ride a motor bike without a helmet. ,
tel-modal-28,deo-imp-2,Visitors 6 pm taruvaata unda-kuuda-du,Visitors 6 pm after 	be-NEG-3ns,Visitors MUST NOT stay after 6pm.,
tel-modal-28b,deo-imp-2,Visitors 6 pm taruvaata unD-aDaani-ki ledu,Visitors 6 pm after 	be-NMNL-Dat Neg.MOD,Visitors MUST NOT stay after 6pm.,
tel-modal-28c,deo-imp-2,Visitors 6 pm taruvaata unD-a ledu,Visitors 6 pm taruvaata unD-a ledu,Visitors MUST NOT stay after 6pm.,
tel-modal-29,tel-nec-1,neevu/meeru ii                 roddu meedu gaa                 vel-laali,You              this	Road PSP     ADV-Marker	go-MOD,you HAVE TO take this road.,
tel-modal-30,tel-nec-2,Team A Team B meeda gela-vaali.,Team A Team B Against win-MOD,Team A has to beat Team B.,
tel-modal-31,tel-nec-3,manamu Gino nundi order cey-aali,We          Gino From order do-MOD,We have to order from Gino’s,
tel-modal-31b,tel-nec-3,# tappakundaa,certainly,,"tappakundaa would not be used in these examples, but in an example like “In order to get a good grade, you must score 80%”."
tel-modal-32,tel-wn-1,neevu/meeru 	bus-lo 		vel-laali,You                	bus-in 		go-MOD,you should take the bus.,
tel-modal-33,tel-wn-2,neevu/meeru cinna roddu-meedu gaa vel-laali..,You               small  road-P    go-MOD	,you should go via the small roads.,
tel-modal-34,tel-wn-3,neevu/meeru naa shop-ki 	raa-vaali.,You                my shop-DAT                come-MOD,You should come to my shop,
tel-modal-35,tel-pos-1,neevu/meeru route 1 teesuko-vaccu,You               Route 1    take-MOD,You can take route 1.,
tel-modal-36,tel-pos-2,manamu aa swimming pool ki vell-occu ,We 	 that swimming pool DAT go-MOD,We can go to that swimming pool ,
tel-modal-37,tel-pos-3,neevu/meeru ii 		shop-ki 		vell-occu ,I	       that		shop-DAT	go-MOD,You can go to this shop.,
tel-modal-38,tel-nnec-1,neevu/meeru 	bus ekke /teesukune 	avasaram ledu,You     	  	bus  climb/take need  NEG,you don’t need to take the bus.,
tel-modal-39,tel-imp-1,nuvvu/meeru 	maro 	roddu 	teesuko kuudadu,You		another	Road	take 	NEG	,you cannot take another/(a different) road.,
tel-modal-39b,tel-imp-1,nuvvu/meeru 	maro 	roddu 	teesuko lee-ru,You		another	Road	take 	NEG-2PL	,you cannot take another/(a different) road.,
tel-modal-40,tel-imp-2,Team A                 meeda Team B                 odipo kuudadu,Team A                 PSP        Team B                defeat NEG,Team A cannot lose to Team B. ,
tel-modal-40b,tel-imp-2,Team A                 meeda Team B               odipo-ledu        ,Team A                 PSP        Team B         defeat-lightverb-MOD.NEG,Team A cannot lose to Team B. ,
tel-modal-41,cir-nec-1,naaku 	ottugaa 	muutraaniki 	po-vaali,I-DAT	urgently	urine-DAT	go-MOD,I HAVE to pee so badly!,
tel-modal-42,cir-nec-2,nenu 	ippudu 		tumm-aali.,I-NOM now		sneeze-MOD,I have to sneeze.,
tel-modal-43,cir-nec-3,niillu 	tappakundaa 	kudi 	pipe 	nund-e(nundi ‘PSPi+e ‘emphasis)	raa-vaali.,Water	MOD		right	pipe	out.of-E				come-MOD,The water must come out from the right output [pipe]. ,
tel-modal-44,cir-pos-1,duku cetlu         ikkada kuuda                 peraga-vaccu,Duku tree        here also                grow-MOD,Duku trees can grow here.,
tel-modal-44b,cir-pos-1,duku cetlu         ikkada kuuda                 peraga-galavu,Duku tree	here also		grow-MOD,Duku trees can grow here.,
tel-modal-45,cir-pos-2,Amy                 Traditional Italian pasta vanda-galadu,Amy                TIP                        cook-MOD,Amy can make traditional Italian pasta,
tel-modal-45b,cir-pos-2,Amy                 Traditional Italian pasta ceya-galadu,Amy                TIP               make-MOD,Amy can make traditional Italian pasta,
tel-modal-45c,cir-pos-2,Amy                 Traditional Italian pasta  ceya-vaccu,Amy                TIP                make-MOD,Amy can make traditional Italian pasta,
tel-modal-46,cir-pos-3,Ben ippudu nadava-galadu,Ben now    walk-MOD,Ben can walk now.,
tel-modal-46b,cir-pos-3,Ben ippudu nadava-vaccu,Ben now    walk-MOD,Ben can walk now.,
tel-modal-47,cir-pos-4,Paul	 aa 	konda ni 	etta-[gala-du],Paul	that	hill-ACC	lift-MOD-AGR,Paul can lift that rock.,"ettu is the root which means ‘to lift’
ettu + a -> etta"
tel-modal-48,cir-pos-5,The travel van-lu 	20 mandi-ni 		teesu-ko-po-[gala-vu],The travel van-PL	20 Members-ACC	take-REFL-LiVb-[MOD-AGR],The travel vans can fit 20 people.,
tel-modal-49,cir-nnec-1,Volcano                 raaboye 5 years-lo         pel-occu,Volcano		next      5 years-LOC	erupt-MOD,it is LIKELY (BUT NOT CERTAIN) that the volcano will erupt in the next 5 years. ,
tel-modal-50,cir-imp-3,aayana         nadava-ledu         ,He        walk-NEG.MOD,He can’t walk. ,
tel-modal-50b,cir-imp-3,*aayana nadava-gala-ledu,He      walk-MOD-NEG.MOD,He can’t walk. ,
tel-modal-51,cir-imp-2,niillu 		edama-vaipu 	nundi 	raa-levu,water-PL	left-side	from	come-NEG.MOD,the water CAN’T come out from the left output. ,
tel-modal-52,bou-nec-1,Naaku 	adi kaav-aali,I.DAT	that want-MOD  ,I WANT/NEED TO buy it.,
