ref,context,words,gloss,translation,comment
rus-modal-43,cir-nec-5,Velosiped 	dolžen 	bɨt’ 	nalažen 	pered 	ispol’zovaniem.,Bicycle 	mod 	be.inf 	repaired 	before 	usage,The bike has to be repaired before use.,Checking with an inanimate subject. 
rus-modal-43b,cir-nec-5,Velosiped         nado         naladit’         pered         ispol’zovaniem,Bicycle 	MOD 	repaired 	before 	usage ,The bike has to be repaired before use.,Checking with an inanimate subject. 
rus-modal-44,cir-nec-3,Voda 	dolžna 	vyjti 	      s 	    pravoj    storonɨ.,Water 	mod 	come.out    from    right 	     side,the water must come out from the right output. ,
rus-modal-44b,cir-nec-3,Voda 	objazana 	vyjti 	     s 	   pravoj 	storonɨ,Water         mod                 come.out   from    right                 side,the water must come out from the right output. ,
rus-modal-44c,cir-nec-3,# Voda      nužno   vyjti              s            pravoj         storonɨ,Water         mod                 come.out   from    right                 side,,
rus-modal-44d,cir-nec-3,# Voda      nado        vyjti              s            pravoj         storonɨ,Water         mod                 come.out   from    right                 side,,
rus-modal-45,cir-pos-1,? Dervo         Duku         dolžno  zdes’         rasti.,Tree         duku         mod      here         grow,duku trees can grow here.,
rus-modal-45b,cir-pos-1,Dervo         Duku        možet zdes’         rasti.,Tree         duku     mod          here         grow,duku trees can grow here.,
rus-modal-45c,cir-pos-1,Dervo 	Duku 	vozmožno 	zdes’ 	rastjot,Tree 	duku 	mod		here 	grow,duku trees can grow here.,
rus-modal-46,cir-pos-2,Maria 	možet 		prigotovit’ 	traditsionnye 	ital’anskie 	makarony.,Maria  mod.3sg  prepare.inf traditional  italian   pasta,Amy can make traditional Italian pasta,
rus-modal-46b,cir-pos-2,vozmožno,MOD,Amy can make traditional Italian pasta,"in principle, if she gets the ingredients should get the pasta. "
rus-modal-46c,cir-pos-2,#dolžno  ,MOD,,
rus-modal-47,cir-pos-3,Ben 	možet 	sejčas 	xodit’,Ben   MOD         now         walk,Ben can walk now.,
rus-modal-47b,cir-pos-3,# Ben  dolžen       sejčas         xodit’,Ben   MOD         now         walk,,
rus-modal-47c,cir-pos-3,# Ben   vozmožno    sejčas         xodit’,Ben   MOD         now         walk,,
rus-modal-48,cir-pos-4,Paul         mog         podnjat         tot         kamen’.,Paul 	MOD	lift 		that 	rock,,
rus-modal-49,cir-pos-5,V 	mikroavtobusy 	možet 	pomestit’sja 	20	 čelovek.,In	minivans          	mod 	fit 		20 	 person,Travel vans can fit 20 people.,
rus-modal-49b,cir-pos-5,V 	mikroavtobusy 	vozmožno 	vmestit’ 	20 	čelovek,In         minivans         MOD                fit                 20         people,Travel vans can fit 20 people.,
rus-modal-50,cir-nnec-1,Vulkan                 ne         dolžen         objazatel’no         vzorvat’sja.,Volcano         NEG         MOD         obligatory         to.erupt  ,The volcano doesn’t have to erupt.,"Here, it’s just “not necessarily the case that it will erupt”"
rus-modal-50b,cir-nnec-1,#Vulkan ne dolžen vzorvat’sja ,Volcano         NEG         MOD    to.erupt  ,,"Without objazatel’no (adverb), you’re saying that there is clear evidence that it won’t erupt."
rus-modal-50c,cir-nnec-1,Vulkan 	  možet 		i 	ne 	vzorvat’sja.,Volcano  MOD 		foc 	neg 	to.erupt ,The volcano doesn’t have to erupt.,
rus-modal-51,cir-imp-3,Ben 	ne 	možet 	xodit’,Ben         NEG         MOD         walk ,Ben can’t walk.,
rus-modal-51b,cir-imp-3,#Benu nel’zja xodit’,Ben        MOD         walk ,,
rus-modal-51c,cir-imp-3,#Ben ne dolžen xodit’,Ben         NEG         MOD         walk ,,
rus-modal-52,cir-imp-2,Voda         ne         možet    vɨteč               s            levoj         storonɨ,Water   NEG         MOD  flow.out    from   left         side,the water can’t come out from the left output.,
rus-modal-52b,cir-imp-2,Voda       ne          dolžna  vɨteč               s            levoj         storonɨ,Water   NEG         MOD     flow.out    from   left         side,the water can’t come out from the left output. ,"it shouldn’t be coming out from the right… because it’s blocked, etc. "
rus-modal-53,cir-imp-4,Derevo                 Duku         ne   možet     zdes’         rosti,Tree                 duku     NEG MOD here         to.grow,duku trees can’t grow here.,
rus-modal-53b,cir-imp-4,Derevo                 Duku        ne       dolžen         zdes’         rosti,Tree                 duku     NEG MOD        here         to.grow,duku trees can’t grow here.,
rus-modal-53c,cir-imp-4,#Nel’zja ,MOD,,Only used in deontic impossibility. Doesn’t work here 
rus-modal-54,bou-nec-1,Ja         dolžna         ejo         kupit’.,I         mod         her         buy.inf, I must buy it.,
rus-modal-54b,bou-nec-1,Mne 	nado 	ejo 	kupit’,I.dat         mod         her         buy, I must buy it.,
rus-modal-54c,bou-nec-1,#mozet ,MOD,,
rus-modal-55,bou-nec-2,Ja 	dolžna 	sxodit’ 	v 	kinoteart.,, I must go to the cinema.,
rus-modal-55b,bou-nec-2,?Mne nado sxodit’ v kinoteart,, I must go to the cinema.,Infelicitous if you don’t have the internal urge to do smth (you’d do this to catch up with some friends who are talking about the film or something)
rus-modal-56,bou-nec-3,Moj 	drug 	xočet 	k 	nam 	prijti.,My 	friend 	wants 	to 	us 	come,My friend wants to come visit me.,
rus-modal-56b,bou-nec-3,#Dolzen ,,,
rus-modal-56c,bou-nec-3,#Nado,,,
