ref,words,gloss,translation,comment
aka-modal-3p,Enti         ɛ-n-sɛ-sɛ                 ɛwɔ         C,So MOD be C,It must not be C,"Morphological analysis of ""ɛ-n-sɛ-sɛ"": pro-Neg-Verb-Comp"
aka-modal-3pb,Enti 	ɛ-n-sɛ-sɛ 		ɛ-n-wɔ 	C,So MOD NEG-be C,,ungrammatical regardless of context
aka-modal-3pc,Enti	e-n-tumi 	n-wɔ C,So MOD NEG-be C,So it can't be in C,"Neg semantically scopes over ""tumi"""
aka-modal-12,ɛsɛsɛ 	wo 	hyɛ 	helmet,MOD you wear helmet,You must wear a helmet,
aka-modal-12b,ɛwɔsɛ         wo         hyɛ         helmet,MOD you wear helmet,You must wear a helmet,
aka-modal-12c,Ɛ-ho-hia wo         hyɛ         helmet,MOD you wear helmet,You must wear a helmet,
aka-modal-12d,A-gye-sɛ wo         hyɛ         helmet,MOD you wear helmet,,ungrammatical
aka-modal-13,ɛsɛsɛ 	visitor 	biara 	firi 	ɛha 	6pm,MOD         visitor         every         leave         here         6,Visitors must leave by 6pm,
aka-modal-13b,ɛwɔsɛ 	visitor 	biara	firi 	ɛha 	6pm,MOD         visitor         every         leave         here         6,Visitors must leave by 6pm,
aka-modal-16,Ɛsɛsɛ         me-hyɛ                 ataade         papa,MOD 	1SG-wear 	dress 	good,I ought to dress well,
aka-modal-16b,Ɛwɔsɛ me-hyɛ                 ataade         papa,MOD 	1SG-wear 	dress 	good,I ought to dress well,
aka-modal-20,Wo	be-tumi 	awuramu,You 	FUT-MOD 	enter,You may enter,"""be"" is a future marker, but may not have the meaning of future tense in this sentence"
aka-modal-20b,wo	tumi 	awuramu,You MOD enter,,"ungrammatical as an assertion; with a rising tone in the final vowel, it can work as a question “are you allowed to enter?”"
aka-modal-23,Beth	be-tumi 	a-kɔ 		dware 	nsuo 	mu,Beth 	FUT-MOD 	PERF-go 	bathe	water 	in,Beth is allowed to go swimming,
aka-modal-23b,Beth 	wɔ 	hokwan 	sɛ 	o-dware 	nsuo 	mu,Beth         have         permission         COMP         pro-bathe        water         in,Beth has permission to bathe in water,
aka-modal-16p,"ɛwɔsɛ me-hyɛ ataadeɛ papa, nanso ɛnsɛsɛ me-hyɛ ataadeɛ papa","MOD 1SG-wear dress good, but MOD 1SG-wear dress good",I should wear good clothes but I don’t have to,The second clause also has the reading “I must not wear good clothes” (would be odd in conjunction with the first clause)
aka-modal-16pb,"ɛwɔsɛ me-hyɛ ataadeɛ papa, nanso ɛ-ho-n-hia sɛ me-hyɛ ataadeɛ papa","MOD 1SG-wear dress good, but MOD COMP 1SG-wear dress good",I should wear good clothes but I don’t have to,More natural than aka-modal-16pb
aka-modal-16pc,"ɛsɛsɛ me-hyɛ ataade papa, nanso ɛnwosɛ me-hyɛ ataade papa","MOD 1SG-wear dress good, but MOD 1SG-wear dress good",,Initial reaction: this is slightly unnatural
aka-modal-16pd,"Me-pɛsɛ mehyɛ ataade papa, nanso ɛnwsɛ me-hyɛ ataade papa","1sg-want 1SG-wear dress good, but MOD 1SG-wear dress good",I want to wear formal clothes but I don't have to,
aka-modal-12p,Ɛnsɛsɛ                 wo         twi motor bike berɛ a wo-n-hyɛ helmet,MOD-NEG you drive motor bike ? ? you-NEG-wear helmet,You must not ride a helmet without a helmet,
aka-modal-12pb,Ɛnwɔsɛ wo         twi motor bike berɛ a wo-n-hyɛ helmet,MOD-NEG you drive motor bike ? ? you-NEG-wear helmet,You must not ride a helmet without a helmet,
aka-modal-12pc,Wo 	ntumi 		ntwi 		motor bike berɛ a wonhyɛ helmet,You         Neg.MOD         Neg.drive motor bike ? ? you-NEG-wear helmet,You must not ride a helmet without a helmet,
aka-modal-24,ɛwɔsɛ  wo  fa  kwan  wie  so,MOD  you  take  road  this  on,You HAVE TO take this road,preferred
aka-modal-24b,Ɛsɛsɛ wo  fa  kwan  wie  so,MOD  you  take  road  this  on,You have to take this road,infelicitous
aka-modal-24c,ɛ-ho-hia wo  fa  kwan  wie  so,MOD  you  take  road  this  on,You have to take this road,incorrect (not additionally labeled ungrammatical/ contradictory/etc)
aka-modal-25,ɛwɔsɛ...,???,Team A HAS TO beat team B,consultant preference
aka-modal-25b,Ɛsɛsɛ,???,Team A HAS TO beat team B,"consultant dispreference, but possible idio/regional variation"
aka-modal-27,ɛwɔsɛ  wo  fa  bus  no,MOD  you  take  bus  DET,You SHOULD take the bus,preferred
aka-modal-27b,Ɛsɛsɛ wo  fa  bus  no,MOD  you  take  bus  DET,You SHOULD take the bus,dispreferred
aka-modal-30,Wo (be)-tumi afa  (ɛ)kwan  1  no  so,You (FUT)-MOD  take  road   1 DET  on,You CAN take road 1,
aka-modal-27p,"ɛwɔsɛ         wo         fa        bus         no,         nanso         ɛnwɔ                 wo         fa         bus         no","MOD         you         take        bus         DET, but                 pro-self-Neg-need         you        FUT-take         bus         DET",You DON'T NEED TO take the bus,infelicitous
aka-modal-27pb,"ɛwɔsɛ wo fa bus no, nanso  ɛ-ho-n-hia   sɛ  wo  bɛ-fa  bus  no","MOD         you         take        bus         DET, but                 pro-self-Neg-need        Comp         you        FUT-take         bus         DET",You DON'T NEED TO take the bus,
aka-modal-24p,Wo  n-tumi   (ɛ)n.fa   kwan  foforɔ   so,you  neg.MOD  neg.take  road  different  on,You CAN'T take a different road,
aka-modal-24pb,Ɛnsɛsɛ wo fa kwan foforɔ so,MOD you take road different on,You CAN'T take a different road,
aka-modal-24pc,Ɛnwɔsɛ wo fa kwan foforɔ so,MOD you take road different on,You CAN'T take a different road,
aka-modal-34,Mepawokyɛw         ɛwɔsɛ         me         wansi,please   MOD  1sg  sneeze,I HAVE TO sneeze,
aka-modal-34b,Mepawokyɛw         ɛsɛsɛ         me         wansi,please   MOD  1sg  sneeze,I HAVE TO sneeze,
aka-modal-34c,Mepawokyɛw         ɛ-ho-hia         me         wansi,please   MOD  1sg  sneeze,I HAVE TO sneeze,incorrect
aka-modal-35,Ɛwɔsɛ  nsuo  no  firi  nifa(so)  ɛ-ba,Mod  water  DET from  right.side  pro-come,The water MUST come out of the right side,preferred
aka-modal-35a,Ɛsɛsɛ nsuo no firi nifa na ɛ-ba,???,The water MUST come out of the right side,
aka-modal-36,Duku trees  be-tumi  a-fifi   wɔ  (ɛ)ha,Duku Trees FUT-MOD  Perf-grow  Loc  here,Duku trees CAN grow here,
aka-modal-37,Amy  be-tumi  a-yɛ,Amy FUT-MOD PRF-do/make,Amy CAN make,
aka-modal-37b,Amy tumi yɛ,Amy MOD do/make,Amy CAN make,
aka-modal-40,Travel  vans  be-tumi  a-fa   nipa  aduonu,Travel vans FUT-MOD 	PERF-take 	people 	twenty,Travel vans CAN fit 20 people,[be-tumi a-V] alternates with [tumi V]
aka-modal-44,E-be-tumi  nanso  me  n-gyeni   sɛ  e-be-tumi  asi,pro-Fut-MOD  but  1sg  Neg-certain  Comp  pro-Fut-can  happen,The volcano is LIKELY BUT NOT CERTAIN to erupt,reviewer could not understand consultant's translation. Using  ɛnwɔsɛ or ɛnsɛsɛ in the second clause is contradictory
aka-modal-35p,Nsuo  no  n-tumi   n-firi   benkumso  ɛ-m-ba,Water  Det  Neg-MOD  Neg-from  leftside   Neg.come,The water CAN'T come from the left side.,
aka-modal-41,Me  pɛsɛ  me  tɔ,1SG  want  1sg  buy,I WANT to buy it,
aka-modal-41b,ɛsɛsɛ me tɔ,MOD 1SG buy,I NEED TO buy it,
aka-modal-41c,ɛwɔsɛ me tɔ,MOD 1SG buy,I NEED TO buy it,
