ref,context,words,gloss,translation,comment
arn-modal-14,epi-imp-2,müle-la-y	may 	chi 	külawe 	mew,be-NEG-3 	MOD 	DEF 	third 	ADP,It CAN’T be in the third box.,
arn-modal-15,deo-nec-1,Müle-y 	tami 	kasko-tu-le-al,Be-3 	POSS 	helmet-wear-VERB-PURP.NONFIN,You MUST wear a helmet.,
arn-modal-16,deo-nec-2,Chi 	pu 	witran 	müle-y 	ñi 	amu-tu-al 		18:00hrs mew,DEF 	PL 	visitors 	be-3 	POSS 	go-REFL-PURP.NONFIN…,Visitors MUST leave by 6pm.,
arn-modal-17,deo-wn-1,Müle-afu-y 	ñi 	küme 	tuku-tu-al,BE-MOD-3 	POSS 	good 	clothes-VERB-AL,I OUGHT TO wear formal clothes to the party.,
arn-modal-18,deo-wn-2,Chi 	pu 	cliente 		ka 	müle-afu-y 	ñi 	kücha.küg-al,DEF 	PL 	customers 	also 	be-MOD-3 	POSS 	wash.hands-AL,Non-employees OUGHT TO wash their hands too!,
arn-modal-19,deo-wn-3,Müleafuy ñi tukual kiñe taküwewün,,I OUGHT TO wear a face covering.,
arn-modal-20,deo-pos-1,Martín	pepi-püra-yafu-y,Martin 	MOD-ride-MOD-3,Martin MAY ride the ferris wheel.,
arn-modal-21,deo-pos-2,Pepi-kon-a-ymi,MOD-enter-FUT-2sg,You MAY enter.,
arn-modal-22,deo-pos-3,Pepi         müle-afu-ymi         faw         pun’.mew,MOD         be-MOD-2         here         overnight,You can stay overnight and you can go home.,
arn-modal-23,deo-pos-4,Alicia 	pepi 	witranpüra-yafu-y 	ñi 	püñeñ,Alicia         MOD         lift-MOD-3                 POSS         baby,Alice CAN lift her baby.,
arn-modal-24,deo-pos-5,Isabel	pepi 	wüyül-me-a-y,Isabel 	MOD 	swim-AND-FUT-3,Isabel COULD go swimming.,
arn-modal-25,deo-nnec-1,Müle-y 	ñi 	ye-la-ya-l 		küme 	tükutuwün,Be-3 	POSS 	wear-NEG-FUT-NOM 	good 	clothes,I don't have to wear formal clothes.,
arn-modal-26,deo-nnec-2,Müle-y 	ñi 	mascarilla-tu-le-la-ya-l,Be-3 	POSS 	mask-wear-VERB-NEG-FUT-NOM,I don't have to wear a mask.,
arn-modal-27,deo-imp-1,Müle-y 	ñi 	kasko-tu-le-la-ya-l 			moto 		mew,Be-3 	POSS 	helmet-wear-VERB-NEG-FUT-NOM	motorbike 	ADP,You MUST NOT ride a motor bike without a helmet. ,
arn-modal-28,deo-imp-2,Chi 	pu 	witran 	pepi-müle-la-ya-y 	rüpale 	18:00hrs,DEF 	PL 	visitors MOD-be-NEG-FUT-3 	after 	18:00,Visitors MUST NOT stay after 6pm.,
arn-modal-29,tel-nec-1,Müle-y tami 	amu-a-l 	feichi 	rüpü 	mew,Be-3 	POSS 	go-FUT-NOM 	DEM 	road 	ADP,You HAVE TO take this road.,
arn-modal-30,tel-nec-2,Chile 	müley 	ñi 	wew-a-fi-el 		Brasil,Chile         be-3         POSS         win-FUT-3OBJ-NOM         Brazil ,Chile has to beat Brazil.,
arn-modal-31,tel-nec-3,Müley 	tañi 	amu-a-l 	Napoli 	mew,be-3 	POSS 	go-FUT-NOM 	Napoli 	ADP,We have to go to Napoli to eat the best pizza.,
arn-modal-32,tel-wn-1,Müle-afu-y 	tami 	bus-tu-a-l,be-MOD-3 	POSS 	bus-VERB-FUT-NOM,You should take the bus.,
arn-modal-33,tel-wn-2,Müle-afu-y 	tami 	l’elfün-rüpü-tu-a-l,be-MOD-3 	POSS 	rural-road-TUAL,You SHOULD go via the smaller roads.,
arn-modal-34,tel-wn-3,Müle-afu-y 	tami 	küpa-ya-l 		tañi 	tienda 	mew ,be-MOD-3 	POSS 	come-FUT-NOM 	POSS 	store 	ADP,You SHOULD go to my shop to buy a new shirt.,
arn-modal-35,tel-pos-1,Pepi 	amu-afu-n 	chi 	rüpü 	mew,MOD 	go-MOD-1 	DEF 	road 	ADP,You CAN take way 1.,
arn-modal-36,tel-pos-2,inapüle 	ngillakawe 	müle-chi 	kancha 	pepi 	amü-afu-yu,next.to 	market 		be-AJVZ 	field 	MOD 	go-MOD-1,We could go to the field near the market.,
arn-modal-37,tel-pos-3,Pepi 	amü-afu-ymi 	feichi 	ngillakawe-ruka 	mew,MOD         go-MOD-2         this         market-house(= store)         ADP,You should go to that store.,
arn-modal-38,tel-nnec-1,Duam-la-ymi 	tu-a-fi-el 		chi 	bus.,MOD-NEG-2 	take-FUT-3OBJ-NOM 	DEF 	bus,You DON’T NEED TO / NEEDN’T to take the bus.,
arn-modal-39,tel-imp-1,Pepi 	amu-la-ya-ymi 	kake 	rüpü 	püle,MOD 	go-NEG-FUT-2 other 	road 	ADP,you CAN’T take another road.,
arn-modal-40,tel-imp-2,Chile 	müle-y 	ñi 	wew-no-a-etew 			Brazil,hile 	be-3 	POSS 	win-NEG.NONFIN-FUT-3AG 	Brazil,Chile cannot lose to Brazil.,
