ref,words,gloss,translation,comment
akan-modal-16b,Ɛwɔsɛ me-hyɛ                 ataade         papa,MOD 	1SG-wear 	dress 	good,I ought to dress well,
akan-modal-20,Wo	be-tumi 	awuramu,You 	FUT-MOD 	enter,You may enter,"""be"" is a future marker, but may not have the meaning of future tense in this sentence"
akan-modal-20b,wo	tumi 	awuramu,You MOD enter,,"ungrammatical as an assertion; with a rising tone in the final vowel, it can work as a question “are you allowed to enter?”"
akan-modal-23,Beth	be-tumi 	a-kɔ 		dware 	nsuo 	mu,Beth 	FUT-MOD 	PERF-go 	bathe	water 	in,Beth is allowed to go swimming,
akan-modal-23b,Beth 	wɔ 	hokwan 	sɛ 	o-dware 	nsuo 	mu,Beth         have         permission         COMP         pro-bathe        water         in,Beth has permission to bathe in water,
akan-modal-16p,"ɛwɔsɛ me-hyɛ ataadeɛ papa, nanso ɛnsɛsɛ me-hyɛ ataadeɛ papa","MOD 1SG-wear dress good, but MOD 1SG-wear dress good",I should wear good clothes but I don’t have to,The second clause also has the reading “I must not wear good clothes” (would be odd in conjunction with the first clause)
akan-modal-16pb,"ɛwɔsɛ me-hyɛ ataadeɛ papa, nanso ɛ-ho-n-hia sɛ me-hyɛ ataadeɛ papa","MOD 1SG-wear dress good, but MOD COMP 1SG-wear dress good",I should wear good clothes but I don’t have to,More natural than akan-modal-16pb
akan-modal-16pc,"ɛsɛsɛ me-hyɛ ataade papa, nanso ɛnwosɛ me-hyɛ ataade papa","MOD 1SG-wear dress good, but MOD 1SG-wear dress good",,Initial reaction: this is slightly unnatural
akan-modal-16pd,"Me-pɛsɛ mehyɛ ataade papa, nanso ɛnwsɛ me-hyɛ ataade papa","1sg-want 1SG-wear dress good, but MOD 1SG-wear dress good",I want to wear formal clothes but I don't have to,
akan-modal-12p,Ɛnsɛsɛ                 wo         twi motor bike berɛ a wo-n-hyɛ helmet,MOD-NEG you drive motor bike ? ? you-NEG-wear helmet,You must not ride a helmet without a helmet,
akan-modal-12pb,Ɛnwɔsɛ wo         twi motor bike berɛ a wo-n-hyɛ helmet,MOD-NEG you drive motor bike ? ? you-NEG-wear helmet,You must not ride a helmet without a helmet,
akan-modal-12pc,Wo 	ntumi 		ntwi 		motor bike berɛ a wonhyɛ helmet,You         Neg.MOD         Neg.drive motor bike ? ? you-NEG-wear helmet,You must not ride a helmet without a helmet,
akan-modal-24,ɛwɔsɛ  wo  fa  kwan  wie  so,MOD  you  take  road  this  on,You HAVE TO take this road,preferred
akan-modal-24b,Ɛsɛsɛ wo  fa  kwan  wie  so,MOD  you  take  road  this  on,You have to take this road,infelicitous
akan-modal-24c,ɛ-ho-hia wo  fa  kwan  wie  so,MOD  you  take  road  this  on,You have to take this road,incorrect (not additionally labeled ungrammatical/ contradictory/etc)
akan-modal-25,ɛwɔsɛ...,???,Team A HAS TO beat team B,consultant preference
akan-modal-25b,Ɛsɛsɛ,???,Team A HAS TO beat team B,"consultant dispreference, but possible idio/regional variation"
akan-modal-27,ɛwɔsɛ  wo  fa  bus  no,MOD  you  take  bus  DET,You SHOULD take the bus,preferred
akan-modal-27b,Ɛsɛsɛ wo  fa  bus  no,MOD  you  take  bus  DET,You SHOULD take the bus,dispreferred
akan-modal-30,Wo (be)-tumi afa  (ɛ)kwan  1  no  so,You (FUT)-MOD  take  road   1 DET  on,You CAN take road 1,
akan-modal-27p,"ɛwɔsɛ         wo         fa        bus         no,         nanso         ɛnwɔ                 wo         fa         bus         no","MOD         you         take        bus         DET, but                 pro-self-Neg-need         you        FUT-take         bus         DET",You DON'T NEED TO take the bus,infelicitous
akan-modal-27pb,"ɛwɔsɛ wo fa bus no, nanso  ɛ-ho-n-hia   sɛ  wo  bɛ-fa  bus  no","MOD         you         take        bus         DET, but                 pro-self-Neg-need        Comp         you        FUT-take         bus         DET",You DON'T NEED TO take the bus,
akan-modal-24p,Wo  n-tumi   (ɛ)n.fa   kwan  foforɔ   so,you  neg.MOD  neg.take  road  different  on,You CAN'T take a different road,
akan-modal-24pb,Ɛnsɛsɛ wo fa kwan foforɔ so,MOD you take road different on,You CAN'T take a different road,
akan-modal-24pc,Ɛnwɔsɛ wo fa kwan foforɔ so,MOD you take road different on,You CAN'T take a different road,
akan-modal-34,Mepawokyɛw         ɛwɔsɛ         me         wansi,please   MOD  1sg  sneeze,I HAVE TO sneeze,
akan-modal-34b,Mepawokyɛw         ɛsɛsɛ         me         wansi,please   MOD  1sg  sneeze,I HAVE TO sneeze,
akan-modal-34c,Mepawokyɛw         ɛ-ho-hia         me         wansi,please   MOD  1sg  sneeze,I HAVE TO sneeze,incorrect
akan-modal-35,Ɛwɔsɛ  nsuo  no  firi  nifa(so)  ɛ-ba,Mod  water  DET from  right.side  pro-come,The water MUST come out of the right side,preferred
akan-modal-35a,Ɛsɛsɛ nsuo no firi nifa na ɛ-ba,???,The water MUST come out of the right side,
akan-modal-36,Duku trees  be-tumi  a-fifi   wɔ  (ɛ)ha,Duku Trees FUT-MOD  Perf-grow  Loc  here,Duku trees CAN grow here,
akan-modal-37,Amy  be-tumi  a-yɛ,Amy FUT-MOD PRF-do/make,Amy CAN make,
akan-modal-37b,Amy tumi yɛ,Amy MOD do/make,Amy CAN make,
akan-modal-40,Travel  vans  be-tumi  a-fa   nipa  aduonu,Travel vans FUT-MOD 	PERF-take 	people 	twenty,Travel vans CAN fit 20 people,[be-tumi a-V] alternates with [tumi V]
akan-modal-44,E-be-tumi  nanso  me  n-gyeni   sɛ  e-be-tumi  asi,pro-Fut-MOD  but  1sg  Neg-certain  Comp  pro-Fut-can  happen,The volcano is LIKELY BUT NOT CERTAIN to erupt,reviewer could not understand consultant's translation. Using  ɛnwɔsɛ or ɛnsɛsɛ in the second clause is contradictory
akan-modal-35p,Nsuo  no  n-tumi   n-firi   benkumso  ɛ-m-ba,Water  Det  Neg-MOD  Neg-from  leftside   Neg.come,The water CAN'T come from the left side.,
akan-modal-41,Me  pɛsɛ  me  tɔ,1SG  want  1sg  buy,I WANT to buy it,
akan-modal-41b,ɛsɛsɛ me tɔ,MOD 1SG buy,I NEED TO buy it,
akan-modal-41c,ɛwɔsɛ me tɔ,MOD 1SG buy,I NEED TO buy it,
