ref,context,words,gloss,translation,comment
thk-modal-12,deo-wn-3,Ni         ni-batîîr-i                 kû-îkîra         elmeti,Foc 	1.sg-MOD-noml? 	inf-wear 	helmet ,I am supposed to wear a helmet.,
thk-modal-13,deo-pos-2,Ni-wa 		û-thûngîr-e,Foc-MOD 	1sm-enter-sbjv.fv,You may/can enter.,
thk-modal-13b,deo-pos-2,Na-û-ka-thûngîra,With-1sm-sbjv-enter,"“You can enter”
“(I will) let you enter”",
thk-modal-14,deo-pos-3,Ni-wa 		û-raare 			kana 	û-ka-înûka,Foc-MOD 	1sm-spend.the.night 	or 	1sm-sbjv-go.home,You can stay overnight or you can go home.,
thk-modal-15,deo-nnec-1,Ti racima û-îkîr-e                 n-guo                 ci-a                 û-bici,neg MOD 2sg.sm-wear-sbjv 	10-clothes 	10-Connector 	14-office,I don’t have to wear formal clothes.,Not a must that you wear official clothes.
thk-modal-15b,deo-nnec-1,Ti-wa 		mû-anka 	û-îkîr-e 		n-guo ci-a û-bici,neg-MOD 	3-MOD 	2sg.sm-wear-sbjv 10-clothes 10-Connector 14-office,I don’t have to wear formal clothes.,Not a must that you wear official clothes.
thk-modal-16,deo-imp-1,Û-ti-ka-thiith-i-e 		bikibiki 	û-ti-rî 		na 	elmeti,1sm-neg-fut-ride-ic-fv.sbjv 	motorbike 	1sm-neg-be 	with 	helmet,You are not riding a motorbike without a helmet.,
thk-modal-16b,deo-imp-1,Û-ti-kû-thiith-i-a 	bikibiki 	û-ti-rî 		na 	elmeti,1sm-neg-pres-ride-ic-fv motorbike 	1sm-neg-be 	with 	elmeti,You are not riding a motorbike without a helmet.,
thk-modal-17,deo-imp-2,A-geni   ba-ti-ka-kiny-ith-i-e    thaa  kûmi  na ci-îrî  kû-kû,2-visitors 	2sm-neg-fut-reach-caus-ic-fv.sbjv	 hours 	ten	and 	10-two 	17-in.here,Visitors should not be here after 6:00pm.,
thk-modal-17b,deo-imp-2,# Ti umba,MOD,,
thk-modal-18,tel-nec-1,Ni-wa 		û-th-ire		barabara 	î-no,Foc-MOD 	1sm-go-pfv 	road 		9-dem.prox,You must follow this road.,
thk-modal-18b,tel-nec-1,# Ni-wa 		û-thi 		barabara 	î-no,Foc-MOD 	2sg.sm-go 	road 		5-dem.prox,You can use this road.,
thk-modal-18c,tel-nec-1,Ni-wa 		mû-anka 	û-th-i 		barabara	î-no,Foc-MOD 	3-MOD	1sm-go-fv 	road 		9-dem.prox,You must follow this road.,
thk-modal-19,tel-nec-2,Team 	A 	n-’wa 		î-tur-ire 	Team 	B.,Team	A	Foc-MOD 	5sm-beat-pfv	Team	B,Team A HAS TO beat Team B.,
thk-modal-19b,tel-nec-2,Team 	A 	n-’wa 		mwanka  	î-tur-ire 	Team 	B.,Team	A	Foc-MOD	3-MOD	5sm-beat-pfv	Team	B,Team A HAS TO beat Team B.,
thk-modal-20,tel-wn-1,N-a-tûmîr-e 		m-basi,Foc-1sm-use-fv 	9-bus,Let him/her use a bus.,
thk-modal-20b,tel-wn-1,N-a-ka-tûmîr-a 		m-basi,Foc-1sm-sbjv-use-fv 	9-bus,S/he can use a bus.,
thk-modal-21,tel-pos-1,Ni-wa 		û-tûmîr-e 		m-basi 	kana 	baisikiri,Foc-MOD 	2sg.sm-use-fv.sbjv	9-bus 	or 	9.bicycle,You can use a bus or a bicycle.,"without n’wa we don’t get the “can” meaning, it’s more like an instruction"
thk-modal-22,tel-nnec-1,Ti-wa 		mû-anka	û-tûmîr-e 	m-basi,neg-MOD 	3-MOD	2sg.sm-use-fv.sbj 9-bus,Not a must that you use a bus.,
thk-modal-22b,tel-nnec-1,Ti racima û-tûmîr-e 	m-basi,neg MOD 2sg.sm-use-fv.sbj 9-bus,Not a must that you use a bus.,
thk-modal-23,tel-imp-1,Û-ti-tûmîr-a		n-jira	î-ngî	kû-thi 	B,2sg.sm-neg-use-fv  	9-path  	5-other 	15-go 	B,You don’t use another path to go to B.,
thk-modal-23b,tel-imp-1,Û-ti-ûmba                 kû-tûmîr-a        n-jira        î-ngî        kû-thi         B,2sg.sm-neg-MOD 	pres-use-fv  	9-path  	5-other 	15-go 	B,You can’t use another path to go to B.,
thk-modal-23c,tel-imp-1,# Û-ti-ka-tûmîr-e 	n-jîra 	î-ngî 	kû-thi B,2sg.sm-neg-fut-use-fv.sbj 9-path inf-go to B,You shall not use another path to go to B.,"not felicitous in the given context… suggests that there is another road, but sb. advises you to not to take another road. "
thk-modal-24,cir-nec-2,Ni-wa    mû-anka        ni-bathimûr-ire,Foc-MOD         3-MOD        1sg.sm-sneeze-pfv,I must/have to sneeze.,
thk-modal-24b,cir-nec-2,Ni-wa   ni-bathimûr-ire,Foc-MOD   1sg.sm-sneeze-pfv,I must/have to sneeze.,
thk-modal-25,cir-pos-1,Mî-tî 	ya 	duku 	ni-wa 		î-kûr-e 		Indonesia,4-trees 	of 	duku 	foc-MOD 	5-grow-fv.sbj 	Indonesia,Duku trees can grow in Indonesia.,
thk-modal-25b,cir-pos-1,Mî-tî 	î-a 	Duku ni-î-kûr-ag-a 	Indonesia,3-trees 5-conn Duku foc-5-grow-hab-fv Indonesia,Duku trees grow in Indonesia,
thk-modal-26,cir-pos-2,Kirimi	ni-wa-ruge 		chapati 	indî 	a-ti-rî 		na 	i-nto 	bi-a 	kû-ruga,Kirimi	foc-MOD-cook 	chapati 	but 	1sm-neg-be 	with	8-things 8-of 	15-cook,"Kirimi can cook chapati but, unfortunately, he doesn't have the ingredients.",
thk-modal-26b,cir-pos-2,# Kirimi 	 ni-a-ka-ruga            chapati,Kirimi	with-1sm-sbjv-cook  chapati,Let Kirimi cook chapati,
thk-modal-27,cir-nnec-1,Ti-wa 		mû-anka 	kî-rîma 		kî-ribûk-e,neg-MOD 	3-MOD 	7-mountain 	7-explode-fv.sbjv,Not a must that the mountain erupts (lit:explode).,
thk-modal-27b,cir-nnec-1,Ti 	racima kî-rîma 		kî-ribûk-e,neg 	MOD 	7-mountain 	7-explode-fv.sbjv,Not a must that the mountain erupts (lit:explode).,
thk-modal-28,cir-imp-2,Ti umba. ,neg MOD,,
thk-modal-29,cir-imp-4,Mî-tî 	î-a 	Duku 	î-ti-ûmba 	kû-kûr-a 	Indonesia,3-tree 	5-conn 	Duku 	5-neg-MOD 	inf/15-grow-fv 	Indonesia,Duku trees can’t grow in Indonesia.,
thk-modal-30,bou-nec-1,Ni-wa 		mû-anka 	ni-gûre 		kî-kombe 	kî-kî,Foc-MOD 	3-MOD 	1sg.sm-buy 	7-cup 		7-dem.prox,I must/have to buy this cup.,
thk-modal-30b,bou-nec-1,Ni-wa 		ni-gûr-ire 	kî-kombe 	kî-kî,Foc-MOD 	1sg.sm-buy-pfv 7-cup 		7-dem.prox,I must/have to buy this cup.,
