ref,context,words,gloss,translation,comment
spa-modal-19,deo-wn-3,Debe-ría 	     pone   - r      - me 	una 	mascarilla.,MOD-COND.1sg  put.on - inf - refl  	DET 	mask,I ought to wear a face covering.,
spa-modal-20,deo-pos-1,Martin puede - Ø     subi-r-se  	       a    la 	noria.,Martin MOD - 3sg   get.on-inf-refl   to   DET 	wheel.ride,Martin may ride the ferris wheel.,
spa-modal-21,deo-pos-2,Puede-s      entra-r.,MOD-2sg   enter-inf,You may enter.,
spa-modal-22,deo-pos-3,Puede-s       pasa-r      la    noche   aquí  o   (puede -s) 	irte 	   a 	casa.,MOD-2sg   pass-inf  DET  night    here  or  (MOD- 2sg) go.away  to 	home,You can stay overnight or you can go home.,
spa-modal-22b,deo-pos-3,Puedes pasar la noche aquí pero también (puedes) irte a casa.,MOD-2sg   pass-inf  DET  night    here  also  (MOD- 2sg) go.away  to         home,You can stay overnight. You can also go home.,
spa-modal-23,deo-pos-4,Alice 	puede-Ø        coge-r 	al 	bebé.,Alice         MOD-3sg     take-inf         to.DET baby,Alice can lift her baby.,
spa-modal-24,deo-pos-5,Beth puede-Ø 	 ir 	a   nada-r.,Beth MOD-3sg  go.inf  to  swim-inf,Beth can go swimming.,
spa-modal-25,deo-nnec-1,No         teng-o       que               llevar      ropa         formal.,NEG 	have-1sg  COMP   wear.inf  clothes 	formal,I don’t have to / needn’t wear formal clothes.,"Comments from a reviewer: Honestly, the standard weak-strong univ modal text from English is not awesome in Spanish: “…ought p …but not have to / need not p”. I suspect that in Egnl people accommodate “...I don’t (really) have to”. I need a paraphrase to add the feeling of “really”.
… pero no es absolutamente necesario.
     but not is  absolutely necessary
‘…, but it is not absolutely necessary’"
spa-modal-26,deo-nnec-2,No 	teng-o 	   que	     lleva-r 	   mascarilla.,NEG 	have-1sg  COMP  wear-inf  	   mask,I don’t have to / needn’t wear a face covering.,
spa-modal-26b,deo-nnec-2,No 	teng-o 	   por qué	     lleva-r 	   mascarilla.,NEG 	have-1sg  why		    wear-inf  	   mask,I don’t have to / needn’t wear a face covering.,
spa-modal-26c,deo-nnec-2,# No debo ,,,
spa-modal-27,deo-imp-1,No         debe - s       ir                 en         moto               sin                 casco.,NEG 	MOD - 2sg   go.inf   on 	motorbike  without 	helmet,You must not ride a motorbike without a helmet. ,
spa-modal-28,deo-imp-2,Visitantes 	no 	deben 	     quedarse después de las 6pm.,Visitors 	NEG 	MOD-3pl  stay.inf    after 	6pm,Visitors must not stay after 6pm.,deber is more felicitous in legal/prescriptive contexts
spa-modal-28b,deo-imp-2,Los visitantes 	no 	deben 	     permanece-r (en el hospital)  pasadas las 18:00.,DET visitors 	NEG 	MOD-3pl  stay-inf    (in the hospital) 	after 	6pm,Visitors must not stay after 6pm.,deber is more felicitous in legal/prescriptive contexts
spa-modal-29,tel-nec-1,Tiene-s      que              ir            por   esta  calle.,Have-2sg  COMP  go.inf  by    this   road,You have to take this road,
spa-modal-29b,tel-nec-1,Debe-s       ir 	  por esta calle.,MOD-2sg go.inf by this road,You have to take this road,
spa-modal-30,tel-nec-2,El 	equipo A debe-Ø      gana-r    al  equipo B.,DET 	team A    MOD-3sg win-inf  to.DET  team B,Team A has to beat Team B.,
spa-modal-30b,tel-nec-2,El 	equipo A  tiene-Ø      que       	gana-r     al equipo B.,DET 	team    A  HAVE-3sg  COMP  	win-inf  to.DET  team B,Team A has to beat Team B.,
spa-modal-30c,tel-nec-2,El 	equipo A necesita(-ría) 		gana-r 	al 	equipo B.,DET         team    A MOD(-COND.3sg)         win-inf         to.DET         team B,Team A has to beat Team B.,
spa-modal-31,tel-nec-3,Tene-mos que 	   	ir 	a  la      pizzería Gino.,HAVE-1pl COMP         go.inf         to DET pizzeria Gino,We have to go to Gino to eat the best pizza.,
spa-modal-31b,tel-nec-3,# necesitar,MOD,,
spa-modal-32,tel-wn-1,Debe-rías 	    coge-r      el 		autobús.,MOD-COND.2sg  take-inf   DET 	bus,you should take the bus.,
spa-modal-33,tel-wn-2,Debe-rías 	     ir 	   por  las     carreteras secundarias.,MOD-COND.2sg  go.inf  by   DET  backroads,you should go via the smaller roads.,
spa-modal-34,tel-wn-3,Debe-rías 	     veni-r	 a   mi   tienda.,MOD-COND.2sg  come-inf 	to  my   shop,You should come to my shop to buy a new shirt.,preferred
spa-modal-34b,tel-wn-3,Tiene-s                 que        venir             a mi tienda.,Have-2sg 	COMP  come.inf to my shop,You should come to my shop to buy a new shirt.,
spa-modal-35,tel-pos-1,Puede-s      coge-r      la     primera  ruta.,MOD-2sg  take-inf   DET  first 	     route,You can take way 1.,
spa-modal-36,tel-pos-2,Pode-mos   ir              a   la    piscina.,MOD-1pl   go.inf  to  the  pool,We can go to the swimming pool. ,
spa-modal-37,tel-pos-3,Puede-s     ir 	    a   esta tienda.,MOD-2sg  go.inf  to  this  shop,You can go to this boutique.,
spa-modal-38,tel-nnec-1,No     necesita-s   coger 		el       autobús.,NEG mod-2sg 	   take.inf 	DET  bus,you don’t need to / needn’t take the bus.,
spa-modal-38b,tel-nnec-1,No 	tiene-s 		que 	coger       el         autobús.,NEG 	MOD-2sg 	COMP  take.inf   DET   bus,you don’t need to / needn’t take the bus.,
spa-modal-39,tel-imp-1,No 	puede-s      ir          por  otra   calle.,NEG 	MOD-2sg  go.inf   by   other  road,you can’t take another road.,
spa-modal-40,tel-imp-2,El 	equipo A  no 	puede-Ø    perde-r    ante 	el 	equipo B.,DET 	team    A  NEG MOD-3sg  lose-inf  before 	DET 	team    B,Team A can’t lose to Team B.,"Based on previous data, this example with puede elicits the teleological orientation more than with debe"
spa-modal-40b,tel-imp-2,El 	equipo A no 	debe-Ø 		perde-r     ante      el 	equipo B.,DET 	team    A NEG 	MOD-3sg 	lose-inf    before  DET   team B,,
spa-modal-41,cir-nec-1,Teng-o 	     que 	        mea-r.,Have-1sg  COMP    pee-inf,I have to pee so badly!,
spa-modal-42,cir-nec-2,Teng-o              que               estornuda-r.,Have-1sg  COMP  sneeze-inf,I have to sneeze.,
spa-modal-43,cir-nec-3,… que             el          agua         ten-ga                 que         salir            por         la         tubería         de   la         derecha.,… COMP  DET water         have-sbjv.3sg         COMP leave.inf  by         DET        pipe         of   the         right,the water must come out from the right output/pipe. ,"for pure circumstantial: “tener que” is much better than “deber”;
If epi ingredients is added: ok “deber” / “tener que”"
spa-modal-43b,cir-nec-3,El 	agua 	tiene-Ø	    que 	    sali-r        por    la 	tubería 	de   la 		derecha.,DET 	water 	have-3sg  COMP  leave-inf  by	   DET 	pipe 	of   DET 	right,the water must come out from the right output/pipe. ,Edited to avoid subjunctive subordination:
spa-modal-43c,cir-nec-3,El         agua         debe-Ø            salir       por         la         tubería         de    la          derecha.,DET 	water 	MOD-3sg leave.inf  by 	the 	pipe 	of    the	 right,the water must come out from the right output/pipe. ,
spa-modal-44,cir-pos-1,Los 	árboles 	duku 	puede-n 	crece-r 	  aquí.,DET 	trees	duku 	MOD-3pl	grow-inf  here,duku trees can grow here.,
spa-modal-45,cir-pos-2,Amy         puede-Ø         hacer            pasta         tradicional.,Amy 	MOD-3sg 	make.inf  pasta 	traditional,Amy can make traditional pasta,A reviewer’s intuition about “podria” (can in conditional form: would can/be able to): signals a silent conditional sentence roughly meaning “if she had the right ingredients”.
spa-modal-45b,cir-pos-2,Amy 	es capaz    de 	hacer 	    pasta  tradicional.,Amy 	is capable  of 	make.inf   pasta  traditional,Amy can make traditional pasta,
spa-modal-46,cir-pos-3,Ben puede-Ø         anda-r.,Ben MOD-3sg 	walk-inf,Ben can walk now.,
spa-modal-46b,cir-pos-3,Ben 	es  capaz  	de 	anda-r.,Ben         is  capable           of         walk-inf,Ben can walk now.,
spa-modal-47,cir-pos-4,Paul puede-Ø 	levantar la 	roca.,Paul MOD-3sg         lift          DET         rock,Paul can lift that rock.,
spa-modal-47b,cir-pos-4,Paul 	es 	capaz 		de 	levantar 	la 	roca.,Paul         is         capable         of         lift                 DET         rock,Paul can lift that rock.,
spa-modal-48,cir-pos-5,Los 	minibuses 	puede-n 	acomodar 	a 	20 	personas.,DET	minibuses	MOD-3pl	accommodate 	prep	20	people,Travel vans can fit 20 people.,
spa-modal-48b,cir-pos-5,Los minibuses son capaces de acomodar a 20 personas,DET        minibuses      ?  ?   of    accommodate         prep        20        people,Travel vans can fit 20 people.,
spa-modal-49,cir-nnec-1,El 	volcán 	  no 	tiene-Ø     por.qué 	erupciona-r.,DET 	volcano  NEG 	have-3sg   why	 	erupt-inf,The volcano doesn’t have to erupt.,
spa-modal-50,cir-imp-3,Ben no 		puede-Ø 	andar.,Ben NEG        MOD-3sg        walk,Ben can’t walk.,
spa-modal-50b,cir-imp-3,Ben no es capaz de andar.,Ben NEG      is capable         walk,Ben can’t walk.,
spa-modal-50c,cir-imp-2,El         agua         no         puede-Ø         salir         por         la        tubería         izquierda.,DET	water	NEG	MOD-3sg	exist	by	DET	pipe	left,the water can’t come out from the left output. ,
spa-modal-51,cir-imp-4,Los 	árboles 	duku 	no 	puede-n  	crecer 	aquí.,DET	trees 	duku	NEG	MOD-3pl	 grow	here,duku trees can’t grow here.,
spa-modal-52,bou-nec-1,Teng-o 	     que 		compra-r-lo.,Have-1sg  COMP         buy-inf-it,I must buy it.,
spa-modal-52b,bou-nec-1,Deb-o 		comprar-lo.,MOD-1sg 	buy.inf-it,I must buy it.,
spa-modal-53,bou-nec-2,Teng-o 		que  	ir	 al 	cine 	a 	ve-r-la.,Have-1sg 	COMP  go.inf  	to.DET 	cinema 	to 	see-inf-it,I must go to the cinema.,
spa-modal-54,bou-nec-3,Mi 	amiga 	quiere-Ø 	veni-r 	   a 	ver-me.,My	friend	want-3sg 	come-inf  to 	see.inf-me,My friend wants to come visit me.,
